Time,Magnitude (nT),X,Y,Z
1997-08-23T14:50:33.236000,0.12,-8234769.310437311,3902691.0484346403,1768906.1063526317
1997-08-23T14:51:06.569000,0.03,-8234748.594757414,3902632.559518851,1768878.3936765105
1997-08-23T14:51:39.903000,-0.03,-8234727.87766075,3902574.069933993,1768850.680697152
1997-08-23T14:52:13.236000,-0.1,-8234706.531291808,3902513.807237447,1768822.1276133342
1997-08-23T14:52:46.569000,-0.26,-8234685.8113186965,3902455.316293886,1768794.4140182317
1997-08-23T14:53:19.903000,-0.54,-8234665.089929055,3902396.8246812564,1768766.7001198025
1997-08-23T14:53:53.236000,-0.44,-8234643.739136845,3902336.5598953017,1768738.146089106
1997-08-23T14:54:26.569000,-0.54,-8234623.014870756,3902278.06692385,1768710.4315749032
1997-08-23T14:54:59.903000,-0.77,-8234602.2891877815,3902219.573283271,1768682.716757433
1997-08-23T14:55:33.236000,-1.11,-8234580.9339720635,3902159.3064080267,1768654.1617798281
1997-08-23T14:56:06.569000,-1.38,-8234560.205412402,3902100.8114088043,1768626.4463466438
1997-08-23T14:56:39.902000,-1.44,-8234539.4754362125,3902042.3157402147,1768598.730610103
1997-08-23T14:57:13.236000,-1.54,-8234518.115796748,3901982.04677586,1768570.174685649
1997-08-23T14:57:46.569000,-1.44,-8234497.382943871,3901923.549748568,1768542.4583333347
1997-08-23T14:58:19.902000,-1.66,-8234476.64867411,3901865.0520520885,1768514.7416777534
1997-08-23T14:58:53.236000,-1.77,-8234455.284610899,3901804.7809983245,1768486.1848063308
1997-08-23T14:59:26.569000,-1.81,-8234434.547464092,3901746.2819433804,1768458.467535065
1997-08-23T14:59:59.902000,-1.96,-8234413.808900401,3901687.7822190104,1768430.7499604428
1997-08-23T15:00:33.236000,-1.8,-8234392.440413443,3901627.509075838,1768402.1921421115
1997-08-23T15:01:06.569000,-1.64,-8234371.698972826,3901569.007992884,1768374.473951775
1997-08-23T15:01:39.902000,-2.08,-8234350.956115323,3901510.5062406235,1768346.7554580823
1997-08-23T15:02:13.236000,-2.56,-8234329.5832040245,3901450.231008281,1768318.1966929317
1997-08-23T15:02:46.569000,-2.88,-8234308.837469357,3901391.7278974364,1768290.4775835245
1997-08-23T15:03:19.902000,-3.07,-8234288.090317805,3901333.2241173447,1768262.7581708208
1997-08-23T15:03:53.236000,-2.98,-8234266.712982402,3901272.946795534,1768234.198458702
1997-08-23T15:04:26.569000,-3.02,-8234245.9629535675,3901214.4416567395,1768206.4784302542
1997-08-23T15:04:59.902000,-3.1,-8234225.211507488,3901155.9358487567,1768178.7580984796
1997-08-23T15:05:33.236000,-2.99,-8234203.829747625,3901095.656437597,1768150.197439482
1997-08-23T15:06:06.569000,-2.92,-8234183.075424263,3901037.1492709117,1768122.4764919635
1997-08-23T15:06:39.902000,-3.09,-8234162.319684016,3900978.6414350388,1768094.755241148
1997-08-23T15:07:13.235000,-3.02,-8234140.933499452,3900918.3599345298,1768066.1936352418
1997-08-23T15:07:46.569000,-3.02,-8234120.174881803,3900859.8507398944,1768038.4717686824
1997-08-23T15:08:19.902000,-3.12,-8234099.414846671,3900801.3408761905,1768010.7495988258
1997-08-23T15:08:53.235000,-3.17,-8234078.024237289,3900741.057286332,1767982.1870460112
1997-08-23T15:09:26.569000,-3.21,-8234057.261324756,3900682.546063866,1767954.4642604406
1997-08-23T15:09:59.902000,-3.17,-8234036.496994978,3900624.0341721517,1767926.741171573
1997-08-23T15:10:33.235000,-3.15,-8234015.101960897,3900563.748492826,1767898.1776717904
1997-08-23T15:11:06.569000,-3.18,-8233994.334753361,3900505.2352425284,1767870.4539672085
1997-08-23T15:11:39.902000,-3.17,-8233973.566128461,3900446.7213229234,1767842.7299592406
